id;domaine;appellation;millesime;couleur;cru;contenance;emplacement;date_entree;date_sortie;prix_achat;garde_min;garde_max;commentaire_entree;note_degus;commentaire_degus;fournisseur_nom;fournisseur_infos;producteur
1958e0ca-3236-44ac-be5d-9109805447ca;Château Fleur Cardinale;Saint Emilion;2020;Rouge;GRAND CRU CLASSE;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2025-12-27;;35;7;10;cadeau anniv Christine 2025;;;;;
0435336f-17fc-46db-8c64-7711498a4010;Les Vignots;Pommard;2018;Rouge;;Bouteille 75 cL;Cave garde > Etagère 1 > Casier C;2020-08-12;;30;8;20;;;;;;
638fb06f-758a-4887-acea-c1b8686b5eb6;Couvent des Jacobins;Saint-Emilion Grand Cru;2018;Rouge;GRAND CRU CLASSE;Bouteille 75 cL;Cave garde > Etagère 3 > Casier D;2023-12-17;;30;7;15;Cadeau Océane et Mat Noel 2023;;;;;
4b5e4e97-8ad7-454a-975f-e3910c531a8d;Château Moulin de la Rose;Bordeaux / Saint-Julien;2018;Rouge;;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2024-12-07;;30;7;10;Cadeau anniv Christine 2024;;;;;
a05addc4-3e45-4965-8a72-41deff3111c3;Château de Sales;Pomerol;2020;Rouge;;Bouteille 75 cL;Cave garde > Etagère 3 > Casier D;2023-12-17;;30;7;17;offert par Christine Noel 2023;;;;;
5cdb75c2-a3c7-45e3-a5d1-9e7aee184e74;Château de Sales;Pomerol;2020;Rouge;;Bouteille 75 cL;Cave garde > Etagère 3 > Casier D;2023-12-17;;30;7;17;offert par Christine Noel 2023;;;;;
c1cf695d-3a6f-48a0-91b2-555e224c2195;Les Vignots;Pommard;2018;Rouge;;Bouteille 75 cL;Cave garde > Etagère 1 > Casier C;2020-08-12;;30;8;20;;;;;;
86249df9-a251-41ff-81c7-1bfaa42c3569;Nuits-Saint-Georges;Nuits-Saint-Georges;2019;Rouge;;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2022-12-26;;29;6;15;Cadeau Noël Canadien 2022. 2019 est un très bon millésime avec potentiel de garde. Mieux vaudrait le garder au moins 7 ans.;;;;;
6496386b-605e-42a5-8030-dffa6390d9c5;Esprit de famille;Beaumes-de-Venise;2020;Rouge;;Bouteille 75 cL;Cave garde > Etagère 1 > Casier D;2025-05-11;;27;7;10;Acheté au domaine en 2025. Elevé en petite barrique. Très prometteur. https://www.boutique.domainedurban.com/produit/aop-beaumes-de-venise-esprit-de-famille/;;;;;
4e15062d-515a-4767-b78b-a1513a33704d;Esprit de famille;Beaumes-de-Venise;2020;Rouge;;Bouteille 75 cL;Cave garde > Etagère 1 > Casier D;2025-05-11;;27;7;10;Acheté au domaine en 2025. Elevé en petite barrique. Très prometteur. https://www.boutique.domainedurban.com/produit/aop-beaumes-de-venise-esprit-de-famille/;;;;;
fe4f4f5e-bd15-4aa1-a969-1f7c600841c7;Domaine Meuneveaux;Aloxe-Corton;2019;Blanc;;Bouteille 75 cL;Liebherr Vinothek > Etagère 2;2022-07-11;;25;2;6;cadeau fête des pères2022;;;;;
